job_title, company_name, job_type
Data Analyst,Nahr Development,Full TimeWork From Home
Data Analyst,Orient,Full Time
Data Analyst Supervisor,SURE International Technology,Full Time
Data Science Sr. Analyst,Raya Customer Experience,Full Time
Data Analyst,Alarabia Group,Full Time
Data Analyst,Grand Plast,Full Time
Senior Digital Data Analyst,Jazeera Paints,Full Time
Senior Data & Web Analyst,Finstek,Full Time
Data Analyst,Rashideen Egypt for Trade,Full Time
Data analyst,Confidential,Full Time
Financial Data Analyst - (French/Russian/German/Italy) Speakers,World Vest Base (WVB ),Full Time
Business Analyst Team Lead,Future Group,Full TimeWork From Home
English Financial Data Analyst,World Vest Base (WVB ),Full Time
Business Analyst,MTS,Full Time
Business Analyst ( Project Base Onsite ),Qsource,Freelance / Project
